Exposure,Exposure.Domain,Outcome.Name,Association,Outcome.Domain.Level.2,Outcome.Domain.Level.1,Biospecimen,Dataset_id,Datasets.Type,Dataset.Source,Linked.Dataset.ID,Linked.Dataset.Name
PM2.5,Air Quality,mortality among Native American beneficiaries ineligible for Medicaid,Positive,Mortality;Renal Health;Cardiovascular Health;Endocrine Health;Respiratory Health,Health Outcome,,41007483,Literature,PubMed,,
NO2,Air Quality,breast cancer incidence,Positive,Oncology,Health Outcome,,40998424,Literature,PubMed,,
PM2.5,Air Quality,ER-/PR- tumors,Positive,Oncology,Health Outcome,,40998424,Literature,PubMed,,
PM2.5,Air Quality,breast cancer incidence,Positive,Oncology,Health Outcome,,40998424,Literature,PubMed,,
O3,Air Quality,breast cancer incidence,Null,Oncology,Health Outcome,,40998424,Literature,PubMed,,
O3,Air Quality,ER-/PR- tumors,Positive,Oncology,Health Outcome,,40998424,Literature,PubMed,,
PM2.5,Air Quality,age-standardized mortality rate (ASMR) for TBL cancers,Negative,Oncology;Respiratory Health,Health Outcome,,40994933,Literature,PubMed,,
PM2.5,Air Quality,cognitive performance,Negative,Neurological Health,Health Outcome,,40938769,Literature,PubMed,,
PM2.5,Air Quality,cognitive decline,Null,Neurological Health,Health Outcome,,40938769,Literature,PubMed,,
NO2,Air Quality,cognitive performance,Negative,Neurological Health,Health Outcome,,40938769,Literature,PubMed,,
NO2,Air Quality,cognitive decline,Null,Neurological Health,Health Outcome,,40938769,Literature,PubMed,,
PM2.5,Air Quality,birthweight at 10th percentile,Negative,Perinatal Health,Health Outcome,,40913433,Literature,PubMed,,
PM2.5,Air Quality,birthweight at 90th percentile,Negative,Perinatal Health,Health Outcome,,40913433,Literature,PubMed,,
PM2.5,Air Quality,anxiety,Positive,Mental Health,Health Outcome,,40858232,Literature,PubMed,,
PM2.5,Air Quality,depression,Positive,Mental Health,Health Outcome,,40858232,Literature,PubMed,,
PM2.5,Air Quality,depression prevalence,Positive,Mental Health,Health Outcome,,40824118,Literature,PubMed,,
O3,Air Quality,major depressive disorder (MDD),Null,Mental Health,Health Outcome,,40824118,Literature,PubMed,,
NO2,Air Quality,major depressive disorder (MDD),Null,Mental Health,Health Outcome,,40824118,Literature,PubMed,,
PM2.5 constituent mixture,Air Quality,delayed graft function (DGF),Positive,Renal Health;Posttransplant Outcomes,Health Outcome,,40810939,Literature,PubMed,,
PM2.5 constituent mixture,Air Quality,acute rejection,Positive,Renal Health;Posttransplant Outcomes,Health Outcome,,40810939,Literature,PubMed,,
PM2.5 constituent mixture,Air Quality,death-censored graft failure (DCGF),Positive,Renal Health;Posttransplant Outcomes,Health Outcome,,40810939,Literature,PubMed,,
PM2.5 constituent mixture,Air Quality,all-cause mortality,Positive,Renal Health;Posttransplant Outcomes,Health Outcome,,40810939,Literature,PubMed,,
PM2.5,Air Quality,mortality,Positive,Oncology;Mortality,Health Outcome,,40794608,Literature,PubMed,,
O3,Air Quality,mortality,Positive,Oncology;Mortality,Health Outcome,,40794608,Literature,PubMed,,
NO2,Air Quality,mortality,Positive,Oncology;Mortality,Health Outcome,,40794608,Literature,PubMed,,
Air Quality Index (AQI),Air Quality,5-year mortality,Positive,Mortality,Health Outcome,,40724190,Literature,PubMed,,
PM2.5,Air Quality,asthma exacerbation,Positive,Respiratory Health,Health Outcome,,40720872,Literature,PubMed,,
NO2,Air Quality,asthma exacerbation,Positive,Respiratory Health,Health Outcome,,40720872,Literature,PubMed,,
O3,Air Quality,asthma exacerbation,Null,Respiratory Health,Health Outcome,,40720872,Literature,PubMed,,
wildfire smoke PM2.5,Air Quality,incident HF,Positive,Cardiovascular Health,Health Outcome,,40562508,Literature,PubMed,,
nonsmoke PM2.5,Air Quality,incident HF,Positive,Cardiovascular Health,Health Outcome,,40562508,Literature,PubMed,,
number of days exposed to smoke PM2.5 exceeding 1 μg/m3 over the past 2 years,Air Quality,incident HF,Positive,Cardiovascular Health,Health Outcome,,40562508,Literature,PubMed,,
number of days exposed to smoke PM2.5 exceeding 2.5 μg/m3 over the past 2 years,Air Quality,incident HF,Positive,Cardiovascular Health,Health Outcome,,40562508,Literature,PubMed,,
PM2.5,Air Quality,baseline FEV1,Negative,Respiratory Health,Health Outcome,,40532040,Literature,PubMed,,
PM2.5,Air Quality,baseline FVC,Negative,Respiratory Health,Health Outcome,,40532040,Literature,PubMed,,
PM2.5,Air Quality,baseline FEV1,Null,Respiratory Health,Health Outcome,,40532040,Literature,PubMed,,
PM2.5,Air Quality,baseline FVC,Null,Respiratory Health,Health Outcome,,40532040,Literature,PubMed,,
PM2.5,Air Quality,FEV1 decline,Negative,Respiratory Health,Health Outcome,,40532040,Literature,PubMed,,
PM2.5,Air Quality,FVC decline,Negative,Respiratory Health,Health Outcome,,40532040,Literature,PubMed,,
PM2.5,Air Quality,DlCO decline,Negative,Respiratory Health,Health Outcome,,40532040,Literature,PubMed,,
PM2.5,Air Quality,autism spectrum disorder,Positive,Neurodevelopmental Disorders,Health Outcome,,40482621,Literature,PubMed,,
NO2,Air Quality,autism spectrum disorder,Positive,Neurodevelopmental Disorders,Health Outcome,,40482621,Literature,PubMed,,
benzene,Air Quality,autism spectrum disorder,Positive,Neurodevelopmental Disorders,Health Outcome,,40482621,Literature,PubMed,,
"PM10, PM2.5, CO, NO, NO2, SO2, and O3 mixtures (spermatogenesis)",Air Quality,spontaneous miscarriage,Null,Reproductive Health,Health Outcome,,40447021,Literature,PubMed,,
"PM10, PM2.5, CO, NO, NO2, SO2, and O3 mixtures (early follicle development)",Air Quality,spontaneous miscarriage,Null,Reproductive Health,Health Outcome,,40447021,Literature,PubMed,,
"PM10, PM2.5, CO, NO, NO2, SO2, and O3 mixtures (luteal phase)",Air Quality,spontaneous miscarriage,Null,Reproductive Health,Health Outcome,,40447021,Literature,PubMed,,
"O3 (follicular phase, low vitamin D)",Air Quality,spontaneous miscarriage,Positive,Reproductive Health,Health Outcome,,40447021,Literature,PubMed,,
"O3 (follicular phase, high vitamin D)",Air Quality,spontaneous miscarriage,Null,Reproductive Health,Health Outcome,,40447021,Literature,PubMed,,
PM2.5,Air Quality,self-reported respiratory symptoms,Null,Respiratory Health,Health Outcome,,40392430,Literature,PubMed,,
long-term PM2.5 exposure,Air Quality,proportion of menstrual cycles of abnormally long or short duration,Positive,Reproductive Health,Health Outcome,,40381631,Literature,PubMed,,
long-term PM2.5 exposure,Air Quality,proportion of cycles that were specifically abnormally long,Positive,Reproductive Health,Health Outcome,,40381631,Literature,PubMed,,
short-term PM2.5 concentrations,Air Quality,abnormal cycle length,Null,Reproductive Health,Health Outcome,,40381631,Literature,PubMed,,
O3,Air Quality,preterm birth,Null,Reproductive Health,Health Outcome,,40329024,Literature,PubMed,,
O3,Air Quality,preterm birth,Positive,Reproductive Health,Health Outcome,,40329024,Literature,PubMed,,
PM2.5,Air Quality,preterm birth,Positive,Reproductive Health,Health Outcome,,40329024,Literature,PubMed,,
PM2.5,Air Quality,preterm birth,Null,Reproductive Health,Health Outcome,,40329024,Literature,PubMed,,
PM2.5,Air Quality,autism spectrum disorder,Positive,Neurological Health,Health Outcome,,40324144,Literature,PubMed,,
NO2,Air Quality,autism spectrum disorder,Positive,Neurological Health,Health Outcome,,40324144,Literature,PubMed,,
O3,Air Quality,autism spectrum disorder,Negative,Neurological Health,Health Outcome,,40324144,Literature,PubMed,,
O3,Air Quality,autism spectrum disorder,Positive,Neurological Health,Health Outcome,,40324144,Literature,PubMed,,
PM2.5,Air Quality,infectious postoperative complication,Positive,Thoracic Surgery Outcomes,Health Outcome,,40316228,Literature,PubMed,,
PM2.5,Air Quality,mortality,Positive,Respiratory Health;Mortality,Health Outcome,,40315387,Literature,PubMed,,
PM2.5,Air Quality,incident T2DM,Positive,Metabolic Health,Health Outcome,,40314697,Literature,PubMed,,
NO2,Air Quality,incident T2DM,Positive,Metabolic Health,Health Outcome,,40314697,Literature,PubMed,,
PM2.5,Air Quality,all-cause mortality,Positive,All-cause mortality,Health Outcome,,40310753,Literature,PubMed,,
PM2.5,Air Quality,all-cause mortality,Positive,All-cause mortality,Health Outcome,,40310753,Literature,PubMed,,
smoke-specific PM2.5,Air Quality,unscheduled hospitalization for respiratory concerns,Positive,Respiratory Health;Cardiovascular Health,Health Outcome,,40305019,Literature,PubMed,,
smoke-specific PM2.5,Air Quality,unscheduled hospitalization for cardiovascular concerns,Null,Respiratory Health;Cardiovascular Health,Health Outcome,,40305019,Literature,PubMed,,
O3,Air Quality,current asthma at age 4 to 6 years,Positive,Respiratory Health,Health Outcome,,40172886,Literature,PubMed,,
O3,Air Quality,current wheeze at age 4 to 6 years,Positive,Respiratory Health,Health Outcome,,40172886,Literature,PubMed,,
O3,Air Quality,asthma and wheeze at age 8 to 9 years,Null,Respiratory Health,Health Outcome,,40172886,Literature,PubMed,,
PM < 2.5 ̆m in diameter (PM2.5),Air Quality,premature ventricular contraction burden,Positive,Cardiovascular Health,Health Outcome,,40107401,Literature,PubMed,,
Air Quality Index (AQI),Air Quality,physical activity,Positive,Cardiovascular Health,Health Outcome,,40107401,Literature,PubMed,,
Air Quality Index (AQI),Air Quality,heart rate,Positive,Cardiovascular Health,Health Outcome,,40107401,Literature,PubMed,,
Air Quality Index (AQI),Air Quality,thoracic impedance,Positive,Cardiovascular Health,Health Outcome,,40107401,Literature,PubMed,,
PM < 2.5 ̆m in diameter (PM2.5),Air Quality,physical activity,Positive,Cardiovascular Health,Health Outcome,,40107401,Literature,PubMed,,
PM < 2.5 ̆m in diameter (PM2.5),Air Quality,heart rate,Positive,Cardiovascular Health,Health Outcome,,40107401,Literature,PubMed,,
PM < 2.5 ̆m in diameter (PM2.5),Air Quality,thoracic impedance,Positive,Cardiovascular Health,Health Outcome,,40107401,Literature,PubMed,,
PM2.5,Air Quality,upper airway pathology,Positive,Respiratory Health,Health Outcome,,40062612,Literature,PubMed,,
PM2.5,Air Quality,croup,Positive,Respiratory Health,Health Outcome,,40062612,Literature,PubMed,,
PM2.5,Air Quality,dysphonia,Positive,Respiratory Health,Health Outcome,,40062612,Literature,PubMed,,
PM2.5,Air Quality,negative strep test,Positive,Respiratory Health,Health Outcome,,40062612,Literature,PubMed,,
Wildfire smoke,Air Quality,Adverse health symptoms,Positive,Environmental Health,Health Outcome,,40003502,Literature,PubMed,,
Wildfire smoke,Air Quality,WFS-related illness,Positive,Environmental Health,Health Outcome,,40003502,Literature,PubMed,,
NO2,Air Quality,mortality,Positive,Alzheimer's disease and Alzheimer's disease-related dementias,Health Outcome,,39986315,Literature,PubMed,,
NO2,Air Quality,readmission,Positive,Alzheimer's disease and Alzheimer's disease-related dementias,Health Outcome,,39986315,Literature,PubMed,,
PM2.5,Air Quality,readmission,Positive,Alzheimer's disease and Alzheimer's disease-related dementias,Health Outcome,,39986315,Literature,PubMed,,
Reducing pregnancy average PM2.5 by 30%,Air Quality,Autism spectrum disorder (ASD) cumulative incidence,Negative,Neurological Health,Health Outcome,,39930955,Literature,PubMed,,
Reducing pregnancy average PM2.5 below 9 μg/m3,Air Quality,Autism spectrum disorder (ASD) cumulative incidence,Negative,Neurological Health,Health Outcome,,39930955,Literature,PubMed,,
NO2,Air Quality,COPD,Positive,Respiratory Health,Health Outcome,,39847697,Literature,PubMed,,
CO,Air Quality,COPD,Positive,Respiratory Health,Health Outcome,,39847697,Literature,PubMed,,
radon and PM2.5,Other,gestational diabetes mellitus,Positive,Pregnancy Outcomes;Metabolic Health,Health Outcome,,39792382,Literature,PubMed,,
NO2,Air Quality,cognitive decline,Null,Neurological Health,Health Outcome,,39641998,Literature,PubMed,,
"PM2.5-10,Cu",Air Quality,cognitive decline,Null,Neurological Health,Health Outcome,,39641998,Literature,PubMed,,
"PM2.5-10,Zn",Air Quality,cognitive decline,Null,Neurological Health,Health Outcome,,39641998,Literature,PubMed,,
PM2.5,Other,urinary OH-PAHs,Null,Maternal Health,Health Outcome,Urine,39631646,Literature,PubMed,,
wildfire PM2.5,Air Quality,incident dementia,Positive,Neurological Health,Health Outcome,,39585704,Literature,PubMed,,
nonwildfire PM2.5,Air Quality,incident dementia,Positive,Neurological Health,Health Outcome,,39585704,Literature,PubMed,,
PM2.5,Air Quality,eczema,Positive,inflammatory skin disease,Health Outcome,,39536018,Literature,PubMed,,
PM2.5,Air Quality,head and neck cancer (HNC) incidence rates,Positive,Oncology,Health Outcome,,39532908,Literature,PubMed,,
PM2.5,Air Quality,head and neck cancer (HNC) incidence rates,Positive,Oncology,Health Outcome,,39532908,Literature,PubMed,,
PM2.5,Air Quality,head and neck cancer (HNC) incidence rates,Positive,Oncology,Health Outcome,,39532908,Literature,PubMed,,
PM2.5 during the saccular phase,Air Quality,FEV1 z-score,Negative,Respiratory Health,Health Outcome,,39492664,Literature,PubMed,,
PM2.5 during the pseudoglandular phase,Air Quality,FEV1,Negative,Respiratory Health,Health Outcome,,39492664,Literature,PubMed,,
PM2.5 during the pseudoglandular phase,Air Quality,FVC,Negative,Respiratory Health,Health Outcome,,39492664,Literature,PubMed,,
PM2.5 during the saccular phase,Air Quality,FVC,Negative,Respiratory Health,Health Outcome,,39492664,Literature,PubMed,,
PM2.5,Air Quality,FEV1/FVC ratio,Null,Respiratory Health,Health Outcome,,39492664,Literature,PubMed,,
NO2,Air Quality,mental developmental index (MDI) at age 1,Negative,Neurological Health,Health Outcome,,39478594,Literature,PubMed,,
PM2.5,Air Quality,mental developmental index (MDI) at age 1,Negative,Neurological Health,Health Outcome,,39478594,Literature,PubMed,,
NO2,Air Quality,mental developmental index (MDI) at age 2,Null,Neurological Health,Health Outcome,,39478594,Literature,PubMed,,
PM2.5,Air Quality,mental developmental index (MDI) at age 2,Null,Neurological Health,Health Outcome,,39478594,Literature,PubMed,,
NO2,Air Quality,mental developmental index (MDI) at age 3,Negative,Neurological Health,Health Outcome,,39478594,Literature,PubMed,,
NO2,Air Quality,mental developmental index (MDI) at age 1 (DLM),Negative,Neurological Health,Health Outcome,,39478594,Literature,PubMed,,
PM2.5,Air Quality,mental developmental index (MDI) at age 1 (DLM),Negative,Neurological Health,Health Outcome,,39478594,Literature,PubMed,,
NO2,Air Quality,mental developmental index (MDI) at age 3 (DLM),Negative,Neurological Health,Health Outcome,,39478594,Literature,PubMed,,
PM2.5,Air Quality,mental developmental index (MDI) at age 3 (DLM),Negative,Neurological Health,Health Outcome,,39478594,Literature,PubMed,,
NO2,Air Quality,"psychomotor index (PDI) at ages 1, 2 or 3",Null,Neurological Health,Health Outcome,,39478594,Literature,PubMed,,
PM2.5,Air Quality,"psychomotor index (PDI) at ages 1, 2 or 3",Null,Neurological Health,Health Outcome,,39478594,Literature,PubMed,,
PM2.5,Air Quality,CRS-OV,Positive,Respiratory Health,Health Outcome,,39476332,Literature,PubMed,,
NO2,Air Quality,FEV1,Negative,Respiratory Health,Health Outcome,,39471316,Literature,PubMed,,
NO2,Air Quality,FVC,Negative,Respiratory Health,Health Outcome,,39471316,Literature,PubMed,,
NO2,Air Quality,FeNO,Positive,Respiratory Health,Health Outcome,,39471316,Literature,PubMed,,
O3,Air Quality,FEV1,Null,Respiratory Health,Health Outcome,,39471316,Literature,PubMed,,
O3,Air Quality,FVC,Null,Respiratory Health,Health Outcome,,39471316,Literature,PubMed,,
O3,Air Quality,FeNO,Null,Respiratory Health,Health Outcome,,39471316,Literature,PubMed,,
maximal temperature,Other,MVPA,Negative,Metabolic Health;Obesity,Health Outcome,,39469319,Literature,PubMed,,
air quality index,Other,MVPA,Negative,Metabolic Health;Obesity,Health Outcome,,39469319,Literature,PubMed,,
air quality index,Other,sedentary time,Negative,Metabolic Health;Obesity,Health Outcome,,39469319,Literature,PubMed,,
PM2.5,Air Quality,time to death or lung allograft failure after lung transplant,Positive,Lung Transplantation;Respiratory Health,Health Outcome,,39418024,Literature,PubMed,,
PM2.5,Air Quality,time to death or lung allograft failure after lung transplant,Positive,Lung Transplantation;Respiratory Health,Health Outcome,,39418024,Literature,PubMed,,
PM2.5,Air Quality,time to death or lung allograft failure after lung transplant,Positive,Lung Transplantation;Respiratory Health,Health Outcome,,39418024,Literature,PubMed,,
PM2.5,Air Quality,invasive breast cancer,Positive,Oncology,Health Outcome,,39378392,Literature,PubMed,,
PM2.5,Air Quality,breast cancer incidence (meta-analysis),Positive,Oncology,Health Outcome,,39378392,Literature,PubMed,,
PM2.5,Air Quality,autism spectrum disorder,Positive,Neurological Health,Health Outcome,,39362545,Literature,PubMed,,
PM2.5,Air Quality,incident activities of daily living (ADL) disability,Positive,Physical Health;Physical Disability,Health Outcome,,39342952,Literature,PubMed,,
NO2,Air Quality,incident activities of daily living (ADL) disability,Positive,Physical Health;Physical Disability,Health Outcome,,39342952,Literature,PubMed,,
O3,Air Quality,incident activities of daily living (ADL) disability,Negative,Physical Health;Physical Disability,Health Outcome,,39342952,Literature,PubMed,,
O3,Air Quality,incident activities of daily living (ADL) disability (multi-pollutant model),Negative,Physical Health;Physical Disability,Health Outcome,,39342952,Literature,PubMed,,
PM2.5,Air Quality,COVID-19 incidence,Positive,Infectious Disease,Health Outcome,,39183866,Literature,PubMed,,
NO2,Air Quality,COVID-19 incidence,Positive,Infectious Disease,Health Outcome,,39183866,Literature,PubMed,,
CO,Air Quality,COVID-19 incidence,Positive,Infectious Disease,Health Outcome,,39183866,Literature,PubMed,,
O3,Air Quality,COVID-19 incidence,Positive,Infectious Disease,Health Outcome,,39183866,Literature,PubMed,,
PM2.5,Air Quality,COVID-19 mortality,Positive,Infectious Disease,Health Outcome,,39183866,Literature,PubMed,,
NO2,Air Quality,COVID-19 mortality,Positive,Infectious Disease,Health Outcome,,39183866,Literature,PubMed,,
CO,Air Quality,COVID-19 mortality,Null,Infectious Disease,Health Outcome,,39183866,Literature,PubMed,,
O3,Air Quality,COVID-19 mortality,Positive,Infectious Disease,Health Outcome,,39183866,Literature,PubMed,,
PM2.5,Air Quality,Incident myocardial infarction (MI),Positive,Cardiovascular Disease,Health Outcome,,39158908,Literature,PubMed,,
PM2.5,Air Quality,stroke,Positive,Cardiovascular Disease,Health Outcome,,39158908,Literature,PubMed,,
PM2.5,Air Quality,stroke in less-deprived cohort,Null,Cardiovascular Disease,Health Outcome,,39158908,Literature,PubMed,,
PM2.5,Air Quality,stroke in more-deprived cohort,Positive,Cardiovascular Disease,Health Outcome,,39158908,Literature,PubMed,,
PM2.5,Air Quality,stroke in $50 000 or more per year cohort,Positive,Cardiovascular Disease,Health Outcome,,39158908,Literature,PubMed,,
PM2.5,Air Quality,stroke in under $50 000 per year cohort,Positive,Cardiovascular Disease,Health Outcome,,39158908,Literature,PubMed,,
PM2.5,Air Quality,stroke in White individuals,Positive,Cardiovascular Disease,Health Outcome,,39158908,Literature,PubMed,,
PM2.5,Air Quality,stroke in Black individuals,Positive,Cardiovascular Disease,Health Outcome,,39158908,Literature,PubMed,,
PM2.5,Air Quality,chemosis,Positive,Ophthalmology;Veterinary Health,Health Outcome,,39137801,Literature,PubMed,,
PM2.5,Air Quality,tetralogy of Fallot (TOF),Positive,Cardiovascular Health,Health Outcome,,39108168,Literature,PubMed,,
PM2.5,Air Quality,congenital heart defects (CHDs),Positive,Cardiovascular Health,Health Outcome,,39108168,Literature,PubMed,,
O3,Air Quality,atrioventricular septal defect (AVSD),Positive,Cardiovascular Health,Health Outcome,,39108168,Literature,PubMed,,
PM2.5,Air Quality,all-cause death,Positive,Cardiovascular Health,Health Outcome,,39082400,Literature,PubMed,,
PM2.5,Air Quality,first HF readmission,Positive,Cardiovascular Health,Health Outcome,,39082400,Literature,PubMed,,
PM2.5,Air Quality,HF hospitalization burden,Positive,Cardiovascular Health,Health Outcome,,39082400,Literature,PubMed,,
PM2.5,Air Quality,all-cause readmission burden,Positive,Cardiovascular Health,Health Outcome,,39082400,Literature,PubMed,,
NO2,Air Quality,maternal immune markers,Positive,Immune Health;Maternal Health,Health Outcome,maternal plasma,39034020,Literature,PubMed,,
NO2,Air Quality,IL-23 in late pregnancy,Positive,Immune Health;Maternal Health,Health Outcome,maternal plasma,39034020,Literature,PubMed,,
NO2,Air Quality,IL-23 in early pregnancy,Null,Immune Health;Maternal Health,Health Outcome,maternal plasma,39034020,Literature,PubMed,,
"ambient air pollutants (ozone, nitrogen dioxide, sulfur dioxide, carbon monoxide, particulate matter 2.5, and particulate matter 10)",Air Quality,Primary graft dysfunction (PGD),Null,Lung Transplantation;Primary graft dysfunction,Health Outcome,,39019353,Literature,PubMed,,
PM2.5,Air Quality,oxidative stress,Positive,Maternal and Fetal Health,Biological Endpoint,Urine,38942277,Literature,PubMed,,
NO2,Air Quality,oxidative stress,Negative,Maternal and Fetal Health,Biological Endpoint,Urine,38942277,Literature,PubMed,,
NO2,Air Quality,cardiovascular,Positive,Inflammatory Health;Cardiovascular Health;Metabolic Health;Cancer;Neurological Health,Biological Endpoint,Maternal blood;Cord blood,38555084,Literature,PubMed,,
NO2,Air Quality,inflammation,Positive,Inflammatory Health;Cardiovascular Health;Metabolic Health;Cancer;Neurological Health,Biological Endpoint,Maternal blood;Cord blood,38555084,Literature,PubMed,,
O3,Air Quality,inflammation,Positive,Inflammatory Health;Cardiovascular Health;Metabolic Health;Cancer;Neurological Health,Biological Endpoint,Maternal blood;Cord blood,38555084,Literature,PubMed,,
O3,Air Quality,metabolic,Positive,Inflammatory Health;Cardiovascular Health;Metabolic Health;Cancer;Neurological Health,Biological Endpoint,Maternal blood;Cord blood,38555084,Literature,PubMed,,
O3,Air Quality,cardiovascular,Positive,Inflammatory Health;Cardiovascular Health;Metabolic Health;Cancer;Neurological Health,Biological Endpoint,Maternal blood;Cord blood,38555084,Literature,PubMed,,
PM2.5,Air Quality,cardiovascular,Positive,Inflammatory Health;Cardiovascular Health;Metabolic Health;Cancer;Neurological Health,Biological Endpoint,Maternal blood;Cord blood,38555084,Literature,PubMed,,
PM2.5,Air Quality,metabolic,Positive,Inflammatory Health;Cardiovascular Health;Metabolic Health;Cancer;Neurological Health,Biological Endpoint,Maternal blood;Cord blood,38555084,Literature,PubMed,,
PM2.5,Air Quality,inflammation,Positive,Kidney Failure;Inflammation,Biological Endpoint,Serum,36700905,Literature,PubMed,,
PM2.5,Air Quality,oxidative stress,Positive,Cardiovascular Health,Biological Endpoint,Blood;Urine,27126478,Literature,PubMed,,
black carbon,Air Quality,oxidative stress,Positive,Cardiovascular Health,Biological Endpoint,Blood;Urine,27126478,Literature,PubMed,,
PM2.5,Air Quality,oxidative stress,Positive,Cardiovascular Health,Biological Endpoint,,26732377,Literature,PubMed,,
PM2.5,Air Quality,metal processing,Negative,Cardiovascular Health,Biological Endpoint,,26732377,Literature,PubMed,,
PM2.5,Air Quality,endothelial function,Negative,Cardiovascular Health,Biological Endpoint,,26732377,Literature,PubMed,,
black carbon,Air Quality,oxidative stress,Positive,Respiratory Health,Biological Endpoint,exhaled breath condensate,25262082,Literature,PubMed,,
black carbon,Air Quality,lipid peroxidation,Positive,Respiratory Health,Biological Endpoint,exhaled breath condensate,25262082,Literature,PubMed,,
PM2.5,Air Quality,systemic inflammation,Positive,Cardiovascular Health,Biological Endpoint,,24792413,Literature,PubMed,,
NO2,Air Quality,eosinophilic airway inflammation,Positive,Respiratory Health,Biological Endpoint,Exhaled breath,24696513,Literature,PubMed,,
PM2.5,Air Quality,eosinophilic airway inflammation,Positive,Respiratory Health,Biological Endpoint,Exhaled breath,24696513,Literature,PubMed,,
PM2.5,Air Quality,pulmonary inflammatory responses,Positive,Respiratory Health;Cardiovascular Health,Biological Endpoint,,24451609,Literature,PubMed,,
PM2.5,Air Quality,vascular responses,Positive,Respiratory Health;Cardiovascular Health,Biological Endpoint,,24451609,Literature,PubMed,,
Daily maximum ambient temperature,Weather,amino acid metabolism,Positive,Pregnancy and Birth Outcomes,Biological Endpoint,Serum,41270169,Literature,PubMed,,
Daily maximum ambient temperature,Weather,oxidative stress regulation,Positive,Pregnancy and Birth Outcomes,Biological Endpoint,Serum,41270169,Literature,PubMed,,
temperature,Weather,photosynthesis,Positive,Plant Physiology,Biological Endpoint,needles,26220656,Literature,PubMed,,
temperature,Weather,respiration,Positive,Plant Physiology,Biological Endpoint,needles,26220656,Literature,PubMed,,
topical radiant heating,Other,innate immunity,Positive,Wound Healing,Biological Endpoint,Skin biopsies,16722872,Literature,PubMed,,
High temperature,Weather,thermoregulation,Positive,All-cause mortality,Biological Endpoint,,30886182,Literature,PubMed,,
black carbon,Air Quality,inflammatory pathways,Positive,Cardiovascular Disease,Biological Endpoint,Blood,16844771,Literature,PubMed,,
PM2.5,Air Quality,inflammatory pathways,Positive,Cardiovascular Disease,Biological Endpoint,Blood,16844771,Literature,PubMed,,
PM2.5,Air Quality,airway inflammation,Positive,Respiratory Health,Biological Endpoint,Exhaled breath,15811822,Literature,PubMed,,
PM2.5,Air Quality,airway inflammation,Positive,Respiratory Health,Biological Endpoint,breath samples,14985553,Literature,PubMed,,
naphthalene,Air Quality,oxidative stress,Positive,Oxidative Stress;Inflammation,Biological Endpoint,Urine,42219792,Literature,PubMed,,
naphthalene,Air Quality,inflammation,Positive,Oxidative Stress;Inflammation,Biological Endpoint,Urine,42219792,Literature,PubMed,,
PM2.5 related to wildfire smoke,Air Quality,inflammation,Positive,Behavioral Health,Biological Endpoint,Blood,41412360,Literature,PubMed,,
PM2.5 related to wildfire smoke,Air Quality,neurodevelopment,Positive,Behavioral Health,Biological Endpoint,Blood,41412360,Literature,PubMed,,
PM2.5 related to wildfire smoke,Air Quality,tissue development,Positive,Behavioral Health,Biological Endpoint,Blood,41412360,Literature,PubMed,,
black carbon,Air Quality,inflammatory processes,Positive,Inflammatory processes;Health Inequities,Biological Endpoint,frozen blood spots;purified monocytes,41310776,Literature,PubMed,,
PM2.5,Air Quality,oxidative stress,Positive,Endocrine and Metabolic Health,Biological Endpoint,,41183598,Literature,PubMed,,
PM2.5,Air Quality,systemic inflammation,Positive,Endocrine and Metabolic Health,Biological Endpoint,,41183598,Literature,PubMed,,
PM2.5,Air Quality,protein digestion and absorption,Positive,Reproductive Health,Biological Endpoint,Serum,40440123,Literature,PubMed,,
PM2.5,Air Quality,"aromatic amino acid (phenylalanine, tyrosine, and tryptophan) metabolism",Positive,Reproductive Health,Biological Endpoint,Serum,40440123,Literature,PubMed,,
PM2.5,Air Quality,LOX pathway,Positive,Immune Health,Biological Endpoint,Serum,40381411,Literature,PubMed,,
PM2.5,Air Quality,immunity,Positive,Immune Health,Biological Endpoint,Serum,40381411,Literature,PubMed,,
PM2.5,Air Quality,apoptosis,Positive,Congenital Heart Defects,Biological Endpoint,residual newborn blood spots;DNA,40269475,Literature,PubMed,,
PM2.5,Air Quality,necrosis,Positive,Congenital Heart Defects,Biological Endpoint,residual newborn blood spots;DNA,40269475,Literature,PubMed,,
PM2.5,Air Quality,inflammation,Positive,Congenital Heart Defects,Biological Endpoint,residual newborn blood spots;DNA,40269475,Literature,PubMed,,
PM2.5,Air Quality,immune response,Positive,Congenital Heart Defects,Biological Endpoint,residual newborn blood spots;DNA,40269475,Literature,PubMed,,
O3,Air Quality,apoptosis,Positive,Congenital Heart Defects,Biological Endpoint,residual newborn blood spots;DNA,40269475,Literature,PubMed,,
O3,Air Quality,necrosis,Positive,Congenital Heart Defects,Biological Endpoint,residual newborn blood spots;DNA,40269475,Literature,PubMed,,
O3,Air Quality,inflammation,Positive,Congenital Heart Defects,Biological Endpoint,residual newborn blood spots;DNA,40269475,Literature,PubMed,,
O3,Air Quality,immune response,Positive,Congenital Heart Defects,Biological Endpoint,residual newborn blood spots;DNA,40269475,Literature,PubMed,,
PM2.5,Air Quality,inflammation,Positive,Breast Cancer;Breast adipose inflammation,Biological Endpoint,Noncancerous breast tissue,40055781,Literature,PubMed,,
